dia_semana;hour;mortos
domingo;0;34.0
domingo;1;37.0
domingo;2;34.0
domingo;3;33.0
domingo;4;29.0
domingo;5;46.0
domingo;6;28.0
domingo;7;25.0
domingo;8;14.0
domingo;9;29.0
domingo;10;32.0
domingo;11;29.0
domingo;12;17.0
domingo;13;26.0
domingo;14;33.0
domingo;15;45.0
domingo;16;29.0
domingo;17;55.0
domingo;18;89.0
domingo;19;97.0
domingo;20;75.0
domingo;21;58.0
domingo;22;38.0
domingo;23;45.0
quarta-feira;0;7.0
quarta-feira;1;16.0
quarta-feira;2;7.0
quarta-feira;3;11.0
quarta-feira;4;12.0
quarta-feira;5;18.0
quarta-feira;6;19.0
quarta-feira;7;16.0
quarta-feira;8;14.0
quarta-feira;9;21.0
quarta-feira;10;22.0
quarta-feira;11;14.0
quarta-feira;12;18.0
quarta-feira;13;15.0
quarta-feira;14;29.0
quarta-feira;15;17.0
quarta-feira;16;26.0
quarta-feira;17;28.0
quarta-feira;18;33.0
quarta-feira;19;49.0
quarta-feira;20;40.0
quarta-feira;21;22.0
quarta-feira;22;21.0
quarta-feira;23;18.0
quinta-feira;0;16.0
quinta-feira;1;16.0
quinta-feira;2;15.0
quinta-feira;3;13.0
quinta-feira;4;15.0
quinta-feira;5;22.0
quinta-feira;6;34.0
quinta-feira;7;19.0
quinta-feira;8;14.0
quinta-feira;9;12.0
quinta-feira;10;9.0
quinta-feira;11;15.0
quinta-feira;12;22.0
quinta-feira;13;20.0
quinta-feira;14;17.0
quinta-feira;15;27.0
quinta-feira;16;26.0
quinta-feira;17;16.0
quinta-feira;18;41.0
quinta-feira;19;49.0
quinta-feira;20;27.0
quinta-feira;21;32.0
quinta-feira;22;24.0
quinta-feira;23;18.0
segunda-feira;0;30.0
segunda-feira;1;18.0
segunda-feira;2;16.0
segunda-feira;3;20.0
segunda-feira;4;15.0
segunda-feira;5;33.0
segunda-feira;6;19.0
segunda-feira;7;20.0
segunda-feira;8;20.0
segunda-feira;9;13.0
segunda-feira;10;16.0
segunda-feira;11;18.0
segunda-feira;12;23.0
segunda-feira;13;15.0
segunda-feira;14;17.0
segunda-feira;15;26.0
segunda-feira;16;27.0
segunda-feira;17;30.0
segunda-feira;18;55.0
segunda-feira;19;47.0
segunda-feira;20;25.0
segunda-feira;21;29.0
segunda-feira;22;15.0
segunda-feira;23;19.0
sexta-feira;0;21.0
sexta-feira;1;23.0
sexta-feira;2;13.0
sexta-feira;3;24.0
sexta-feira;4;22.0
sexta-feira;5;27.0
sexta-feira;6;24.0
sexta-feira;7;19.0
sexta-feira;8;13.0
sexta-feira;9;19.0
sexta-feira;10;12.0
sexta-feira;11;19.0
sexta-feira;12;15.0
sexta-feira;13;17.0
sexta-feira;14;24.0
sexta-feira;15;27.0
sexta-feira;16;30.0
sexta-feira;17;28.0
sexta-feira;18;62.0
sexta-feira;19;63.0
sexta-feira;20;64.0
sexta-feira;21;43.0
sexta-feira;22;35.0
sexta-feira;23;21.0
sábado;0;38.0
sábado;1;18.0
sábado;2;20.0
sábado;3;24.0
sábado;4;31.0
sábado;5;16.0
sábado;6;28.0
sábado;7;22.0
sábado;8;9.0
sábado;9;19.0
sábado;10;12.0
sábado;11;17.0
sábado;12;24.0
sábado;13;26.0
sábado;14;25.0
sábado;15;44.0
sábado;16;32.0
sábado;17;43.0
sábado;18;83.0
sábado;19;79.0
sábado;20;60.0
sábado;21;51.0
sábado;22;42.0
sábado;23;43.0
terça-feira;0;14.0
terça-feira;1;16.0
terça-feira;2;8.0
terça-feira;3;14.0
terça-feira;4;17.0
terça-feira;5;28.0
terça-feira;6;18.0
terça-feira;7;16.0
terça-feira;8;20.0
terça-feira;9;19.0
terça-feira;10;17.0
terça-feira;11;24.0
terça-feira;12;15.0
terça-feira;13;18.0
terça-feira;14;22.0
terça-feira;15;23.0
terça-feira;16;22.0
terça-feira;17;28.0
terça-feira;18;32.0
terça-feira;19;46.0
terça-feira;20;26.0
terça-feira;21;27.0
terça-feira;22;21.0
terça-feira;23;8.0
