rank,organization,country,cross_edges,communities_bridged,own_community_size,communities_reached
1,Mara Salvatrucha,United States,41,9,12,Mexican Cartel Conflict Network (66); Chicago Folk Nation vs People Nation Conflict (47); Northeastern Mafia Conflict Network (23); Multi-Ethnic Street Gang Conflicts (20); Los Angeles Sureño Gang Conflicts (18); US Prison Gang Conflict Network (16); Puerto Rican and Dominican Gang Conflicts (12); Tongan Crip Gang Rival Network (5); Haitian Gang Conflict Network (5)
2,Hells Angels Motorcycle Club,United States,26,12,99,British Columbia Gang Conflicts (24); Northeastern Mafia Conflict Network (23); US Prison Gang Conflict Network (16); Canadian Biker Gang Conflicts (13); Italian-Canadian Mafia Conflicts (12); Canadian Indigenous and White Supremacist Gangs (11); New Zealand Gang Rivalries (11); New Zealand Biker and Gang Conflicts (9); Anti-Hells Angels Biker Coalition (6); German-Turkish Gang Rivalries (5); Haitian Gang Conflict Network (5); Danish Biker Gang Rivalries (4)
3,Latin Kings,United States,26,6,47,Mexican Cartel Conflict Network (66); Colombian Armed Conflict Nexus (27); Multi-Ethnic Street Gang Conflicts (20); Puerto Rican and Dominican Gang Conflicts (12); Central American Gang Conflicts (12); Ecuadorian Cartel Splinter Conflicts (7)
4,Crips,United States,24,6,20,Chicago Folk Nation vs People Nation Conflict (47); US Prison Gang Conflict Network (16); Puerto Rican and Dominican Gang Conflicts (12); Central American Gang Conflicts (12); Los Angeles Hispanic Gang Rivalries (9); Westside Los Angeles Gang Conflicts (6)
5,18th Street Gang,United States,23,9,12,Mexican Cartel Conflict Network (66); Chicago Folk Nation vs People Nation Conflict (47); Colombian Armed Conflict Nexus (27); Multi-Ethnic Street Gang Conflicts (20); Los Angeles Sureño Gang Conflicts (18); US Prison Gang Conflict Network (16); Filipino and Mexican Street Gangs (12); Los Angeles Hispanic Gang Rivalries (9); Westside Los Angeles Gang Conflicts (6)
6,Sinaloa Cartel,Mexico,20,7,66,Colombian Armed Conflict Nexus (27); British Columbia Gang Conflicts (24); Sinaloa Cartel Internal Factions (13); Central American Gang Conflicts (12); Sinaloa-Juárez Cartel Conflict (10); Ecuadorian Cartel Splinter Conflicts (7); Ciudad Juárez Gang Rivalries (4)
7,Bloods,United States,18,8,20,Chicago Folk Nation vs People Nation Conflict (47); Northeastern Mafia Conflict Network (23); US Prison Gang Conflict Network (16); Puerto Rican and Dominican Gang Conflicts (12); Central American Gang Conflicts (12); New Zealand Gang Rivalries (11); Los Angeles Hispanic Gang Rivalries (9); Crips-Bloods Rivalry in Roosevelt (2)
8,La Línea,Mexico,16,3,10,Mexican Cartel Conflict Network (66); Sinaloa Cartel Internal Factions (13); Ciudad Juárez Gang Rivalries (4)
9,Nuova Camorra Organizzata,Italy,15,5,17,Neapolitan Camorra Conflict Network (40); Early New York Mafia-Camorra Conflicts (9); Apulian Mafia Splinter Groups (9); Italian-American Mafia Conflicts (8); Camorra Clans in Conflict (7)
10,Norteños,United States,13,7,16,Outlaw Biker Gang Conflicts (99); Mexican Cartel Conflict Network (66); Multi-Ethnic Street Gang Conflicts (20); Los Angeles Sureño Gang Conflicts (18); Central American Gang Conflicts (12); Los Angeles Hispanic Gang Rivalries (9); Ciudad Juárez Gang Rivalries (4)
11,Mexican Mafia,United States,12,6,16,Outlaw Biker Gang Conflicts (99); Mexican Cartel Conflict Network (66); Multi-Ethnic Street Gang Conflicts (20); Central American Gang Conflicts (12); Ciudad Juárez Gang Rivalries (4); Israeli Crime Family Rivalry (2)
12,Aryan Brotherhood,United States,11,5,16,Outlaw Biker Gang Conflicts (99); Chicago Folk Nation vs People Nation Conflict (47); Multi-Ethnic Street Gang Conflicts (20); Anti-Klan Coalition and Rivals (8); White Supremacist Prison Gang Conflicts (8)
13,Tiny Rascal Gang,United States,11,7,20,Chicago Folk Nation vs People Nation Conflict (47); British Columbia Gang Conflicts (24); US Prison Gang Conflict Network (16); Asian American Street Gang Conflicts (13); Puerto Rican and Dominican Gang Conflicts (12); Central American Gang Conflicts (12); Chinese American Gang Conflicts (9)
14,Tren de Aragua,Venezuela,11,5,27,Mexican Cartel Conflict Network (66); Chicago Folk Nation vs People Nation Conflict (47); Brazilian Crime Syndicate Rivalries (33); Central American Gang Conflicts (12); Ecuadorian Cartel Splinter Conflicts (7)
15,Juárez Cartel,Mexico,10,4,66,Sinaloa Cartel Internal Factions (13); Central American Gang Conflicts (12); Sinaloa-Juárez Cartel Conflict (10); Ciudad Juárez Gang Rivalries (4)
16,Satan's Choice Motorcycle Club,Canada,10,1,13,Outlaw Biker Gang Conflicts (99)
17,Ñetas,Puerto Rico,10,3,12,Chicago Folk Nation vs People Nation Conflict (47); Multi-Ethnic Street Gang Conflicts (20); Central American Gang Conflicts (12)
18,Outlaws Motorcycle Club,United States,9,4,99,Canadian Biker Gang Conflicts (13); Outlaw Motorcycle Club Rivalries (11); Canadian Biker Gang Conflicts (6); Wah Kee and Its Rivals (4)
19,Independent Soldiers,Canada,8,5,24,Outlaw Biker Gang Conflicts (99); Calabrian 'Ndrangheta Clan Conflicts (16); Italian-Canadian Mafia Conflicts (12); Filipino and Mexican Street Gangs (12); Canadian Indigenous and White Supremacist Gangs (11)
20,Gente Nueva,Mexico,8,2,10,Mexican Cartel Conflict Network (66); Sinaloa Cartel Internal Factions (13)
21,Florencia 13,United States,7,4,9,Multi-Ethnic Street Gang Conflicts (20); US Prison Gang Conflict Network (16); Central American Gang Conflicts (12); Watts Crips vs Bloods Feud (5)
22,Barrio Azteca,United States,7,2,4,Mexican Cartel Conflict Network (66); US Prison Gang Conflict Network (16)
23,Islamic State,Iraq,7,4,60,Afghan Taliban and Its Rivals (14); Russian PMCs vs Jihadist Groups (11); Gaza Factional Rivalries (3); Boko Haram and ISWAP Rivalry (2)
24,Bonanno crime family,United States,7,4,23,Multi-Ethnic Street Gang Conflicts (20); Italian-Canadian Mafia Conflicts (12); Detroit Purple Gang Conflicts (4); LA Mafia and Early Rivals (3)
25,Big Circle Gang,China,6,3,20,US Prison Gang Conflict Network (16); Hong Kong Triad Conflict Network (8); White Supremacist Prison Gang Conflicts (8)
26,Los Zetas,Mexico,6,3,66,US Prison Gang Conflict Network (16); Central American Gang Conflicts (12); Sinaloa-Juárez Cartel Conflict (10)
27,American Mafia,United States,6,4,8,Northeastern Mafia Conflict Network (23); Camorra Conflict Network in Campania (17); Early New York Mafia-Camorra Conflicts (9); Chicago Prohibition-Era Rivalries (7)
28,Los Chapitos,Mexico,6,2,13,Mexican Cartel Conflict Network (66); Ciudad Juárez Gang Rivalries (4)
29,Bandidos Motorcycle Club,United States,6,5,99,Canadian Indigenous and White Supremacist Gangs (11); Outlaw Motorcycle Club Rivalries (11); Scandinavian Gang Conflicts (9); Anti-Hells Angels Biker Coalition (6); Finnish Biker Gang Conflicts (5)
30,Black Gangster Disciples Nation,United States,6,4,47,Multi-Ethnic Street Gang Conflicts (20); Puerto Rican and Dominican Gang Conflicts (12); Native Mob and Its Rivals (5); Chicago Gang Rivalries (4)
31,Mongrel Mob,New Zealand,6,2,11,Outlaw Biker Gang Conflicts (99); New Zealand Biker and Gang Conflicts (9)
32,Cártel de Jalisco Nueva Generación,Mexico,6,4,66,Sinaloa Cartel Internal Factions (13); Sinaloa-Juárez Cartel Conflict (10); Ecuadorian Cartel Splinter Conflicts (7); Ciudad Juárez Gang Rivalries (4)
33,La Mayiza,,6,2,13,Mexican Cartel Conflict Network (66); Sinaloa-Juárez Cartel Conflict (10)
34,'Ndrina Giuliano,Italy,5,3,40,Camorra Conflict Network in Campania (17); Calabrian 'Ndrangheta Clan Conflicts (16); Secondigliano Alliance Internal Conflicts (7)
35,Commisso 'ndrina,Italy,5,3,16,British Columbia Gang Conflicts (24); Italian-Canadian Mafia Conflicts (12); Vibo Valentia 'Ndrangheta Feuds (11)
36,Almighty Black P. Stone Nation,United States,5,3,47,Multi-Ethnic Street Gang Conflicts (20); US Prison Gang Conflict Network (16); Central American Gang Conflicts (12)
37,Sicilian Mafia,Italy,5,3,8,Camorra Conflict Network in Campania (17); Corleonesi Rivals in Second Mafia War (14); Catania Mafia Rivalries (10)
38,Cotroni crime family,Canada,5,2,12,Outlaw Biker Gang Conflicts (99); Canadian Biker Gang Conflicts (13)
39,Rock Machine Motorcycle Club,Canada,5,2,99,Italian-Canadian Mafia Conflicts (12); Anti-Hells Angels Biker Coalition (6)
40,Mongols MC,United States,5,3,99,US Prison Gang Conflict Network (16); New Zealand Gang Rivalries (11); Motorcycle Gangs and Bronx Street Gangs (6)
41,Wagner Group,Russia,5,2,11,Jihadist and Islamist Conflict Network (60); Congolese Rebel Rivalries (5)
42,Camorra,Italy,4,4,9,Camorra Conflict Network in Campania (17); Apulian Mafia Splinter Groups (9); Rosarno 'Ndrangheta Feuds (3); Early New York Mafia Rivalries (3)
43,'Ndrina Piromalli,Italy,4,4,16,Neapolitan Camorra Conflict Network (40); Cittanova 'Ndrangheta Feuds (11); Oppido Mamertina 'Ndrangheta Feuds (7); Calabrian 'Ndrangheta Feud (3)
44,Pagan's Motorcycle Club,United States,4,3,99,Northeastern Mafia Conflict Network (23); Outlaw Motorcycle Club Rivalries (11); Canadian Biker Gang Conflicts (6)
45,Gulf Cartel,Mexico,4,4,66,Sinaloa Cartel Internal Factions (13); Puerto Rican and Dominican Gang Conflicts (12); Central American Gang Conflicts (12); Ciudad Juárez Gang Rivalries (4)
46,Alfieri clan,Italy,4,3,17,Secondigliano Alliance Internal Conflicts (7); Camorra Clans in Conflict (7); Camorra Feuds in Castellammare (3)
47,Aryan Brotherhood of Texas,United States,4,1,8,US Prison Gang Conflict Network (16)
48,Nazi Lowriders,United States,4,2,16,Multi-Ethnic Street Gang Conflicts (20); Central American Gang Conflicts (12)
49,Rizzuto crime family,Canada,4,2,12,Northeastern Mafia Conflict Network (23); Calabrian 'Ndrangheta Clan Conflicts (16)
50,Cartel de Medellín,Colombia,4,2,9,Colombian Armed Conflict Nexus (27); Puerto Rican and Dominican Gang Conflicts (12)
