a,b,country_a,country_b,same_country,n_items,items,opposing
'Ndrina Pesce,Commisso 'ndrina,Italy,Italy,True,8,"[""'Ndrina Alvaro"", ""'Ndrina Cataldo"", ""'Ndrina Ierinò"", ""'Ndrina Mazzaferro"", ""'Ndrina Molè"", ""'Ndrina Piromalli"", ""Aquino 'ndrina"", 'Gulf Cartel']","[""'Ndrina Piromalli""]"
Cleveland crime family,Patriarca crime family,United States,United States,True,8,"['Bufalino crime family', 'Chicago Outfit', 'DeCavalcante crime family', 'Detroit Partnership', 'Gambino crime family', 'Genovese crime family', 'Hells Angels Motorcycle Club', 'Los Angeles crime family']",[]
Chicago Outfit,DeCavalcante crime family,United States,United States,True,7,"['Bonanno crime family', 'Cleveland crime family', 'Colombo crime family', 'Gambino crime family', 'Genovese crime family', 'Lucchese crime family', 'Patriarca crime family']",['Gambino crime family']
DeCavalcante crime family,Detroit Partnership,United States,United States,True,7,"['Bonanno crime family', 'Cleveland crime family', 'Colombo crime family', 'Gambino crime family', 'Genovese crime family', 'Patriarca crime family', 'Philadelphia crime family']",['Gambino crime family']
Detroit Partnership,Hells Angels Motorcycle Club,United States,United States,True,7,"['Bufalino crime family', 'Buffalo crime family', 'Cleveland crime family', 'Gambino crime family', 'Genovese crime family', 'Los Angeles crime family', 'Patriarca crime family']",[]
Los Angeles crime family,Pittsburgh crime family,United States,United States,True,7,"['Bufalino crime family', 'Chicago Outfit', 'Cleveland crime family', 'Detroit Partnership', 'Genovese crime family', 'Kansas City crime family', 'San Jose crime family']",['Cleveland crime family']
Bonanno crime family,Pittsburgh crime family,United States,United States,True,7,"['Chicago Outfit', 'Detroit Partnership', 'Genovese crime family', 'Philadelphia crime family', 'Rochester crime family', 'San Jose crime family', 'Trafficante crime family']",['Genovese crime family']
'Ndrina Morabito,'Ndrina Pesce,Italy,Italy,True,6,"[""'Ndrina Cataldo"", ""'Ndrina Mancuso"", ""'Ndrina Mazzaferro"", ""Aquino 'ndrina"", 'Basilischi', 'Clan dei Casalesi']",[]
'Ndrangheta,Mara Salvatrucha,Italy,United States,False,6,"['Big Circle Gang', 'Cártel de Jalisco Nueva Generación', 'Gulf Cartel', 'Los Zetas', 'Sinaloa Cartel', 'Tren de Aragua']",['Los Zetas']
Primeiro Comando da Capital,Sinaloa Cartel,Brazil,Mexico,False,6,"[""'Ndrangheta"", 'Cártel de Jalisco Nueva Generación', 'Hezbollah', 'Los Choneros', 'Revolutionary Armed Forces of Colombia', 'Yakuza']",['Cártel de Jalisco Nueva Generación']
Cleveland crime family,Outlaws Motorcycle Club,United States,United States,True,6,"['American Mafia', 'Chicago Outfit', 'Detroit Partnership', 'Genovese crime family', 'New Orleans crime family', 'Pittsburgh crime family']",['Pittsburgh crime family']
