a,b,country_a,country_b,same_country,n_coop_partners,coop_partners,n_adversaries,adversaries
Latin Kings,Mexican Mafia,United States,United States,True,5,"['18th Street Gang', 'American Mafia', 'Gambino crime family', 'Gulf Cartel', 'Sinaloa Cartel']",3,"['Crips', 'Mara Salvatrucha', 'Tiny Rascal Gang']"
Gulf Cartel,Tren de Aragua,Mexico,Venezuela,False,5,"[""'Ndrangheta"", 'Camorra', 'Cártel de Jalisco Nueva Generación', 'La Línea', 'Mara Salvatrucha']",2,"['18th Street Gang', 'Sinaloa Cartel']"
Cartel del Norte del Valle,Revolutionary Armed Forces of Colombia,Colombia,Colombia,True,5,"['Cártel de Jalisco Nueva Generación', 'Hezbollah', 'Los Rastrojos', 'Sinaloa Cartel', 'Tijuana Cartel']",1,['Cartel de Medellín']
'Ndrina De Stefano,'Ndrina Morabito,Italy,Italy,True,5,"[""'Ndrina Cataldo"", ""'Ndrina Codispoti"", ""'Ndrina Mancuso"", ""'Ndrina Mazzaferro"", 'Camorra']",1,"[""'Ndrina Piromalli""]"
Black Disciples,Crips,United States,United States,True,4,"['Black Gangster Disciples Nation', 'Black Guerrilla Family', 'La Raza Nation', 'Supreme Team']",2,"['Almighty Black P. Stone Nation', 'Almighty Vice Lord Nation']"
'Ndrina Morabito,Commisso 'ndrina,Italy,Italy,True,5,"[""'Ndrina Cataldo"", ""'Ndrina Lo Presti"", ""'Ndrina Mandalari"", ""'Ndrina Mazzaferro"", ""Aquino 'ndrina""]",1,"[""'Ndrina Piromalli""]"
Cartel del Norte del Valle,Oficina de Envigado,Colombia,Colombia,True,5,"['Autodefensas Unidas de Colombia', 'Los Pepes', 'Los Rastrojos', 'Los Zetas', 'Sinaloa Cartel']",1,['Cartel de Medellín']
Almighty Black P. Stone Nation,Norteños,United States,United States,True,4,"['Black Guerrilla Family', 'Bloods', 'Latin Kings', 'People Nation']",2,"['18th Street Gang', 'Aryan Brotherhood']"
18th Street Gang,Guerreros Unidos,United States,Mexico,False,4,"['Beltrán-Leyva Organization', 'Juárez Cartel', 'La Familia Michoacana', 'Tijuana Cartel']",2,"['Gulf Cartel', 'Sinaloa Cartel']"
Martinez Familia Sangeros,Sinaloa Cartel,Puerto Rico,Mexico,False,5,"['American Mafia', 'Cali Cartel', 'Guadalajara Cartel', 'Gulf Cartel', 'Latin Kings']",1,['Gulf Cartel']
