a,b,country_a,country_b,same_country,n_items,score,items,opposing
Cleveland crime family,Patriarca crime family,United States,United States,True,8,20,"['Bufalino crime family', 'Chicago Outfit', 'DeCavalcante crime family', 'Detroit Partnership', 'Gambino crime family', 'Genovese crime family', 'Hells Angels Motorcycle Club', 'Los Angeles crime family']",[]
New Orleans crime family,Patriarca crime family,United States,United States,True,6,15,"['Chicago Outfit', 'Detroit Partnership', 'Gambino crime family', 'Genovese crime family', 'Los Angeles crime family', 'Philadelphia crime family']",['Chicago Outfit']
American Mafia,Banda della Magliana,United States,Italy,False,3,14,"[""'Ndrangheta"", 'Camorra', 'Sicilian Mafia']",[]
'Ndrina Pesce,Commisso 'ndrina,Italy,Italy,True,8,14,"[""'Ndrina Alvaro"", ""'Ndrina Cataldo"", ""'Ndrina Ierinò"", ""'Ndrina Mazzaferro"", ""'Ndrina Molè"", ""'Ndrina Piromalli"", ""Aquino 'ndrina"", 'Gulf Cartel']","[""'Ndrina Piromalli""]"
'Ndrina Bellocco,'Ndrina Mancuso,Italy,Italy,True,4,14,"[""'Ndrina Pesce"", ""'Ndrina Piromalli"", ""'Ndrina Varone"", 'Clan dei Casalesi']","[""'Ndrina Pesce""]"
Cleveland crime family,Outlaws Motorcycle Club,United States,United States,True,6,14,"['American Mafia', 'Chicago Outfit', 'Detroit Partnership', 'Genovese crime family', 'New Orleans crime family', 'Pittsburgh crime family']",['Pittsburgh crime family']
Gambino crime family,Rizzuto crime family,United States,Canada,False,4,13,"[""'Ndrangheta"", 'Bonanno crime family', 'Cuntrera-Caruana Mafia clan', 'Hells Angels Motorcycle Club']",['Bonanno crime family']
Cleveland crime family,Trafficante crime family,United States,United States,True,6,12,"['Chicago Outfit', 'Detroit Partnership', 'Gambino crime family', 'Genovese crime family', 'New Orleans crime family', 'Pittsburgh crime family']",['Pittsburgh crime family']
DeCavalcante crime family,Detroit Partnership,United States,United States,True,7,12,"['Bonanno crime family', 'Cleveland crime family', 'Colombo crime family', 'Gambino crime family', 'Genovese crime family', 'Patriarca crime family', 'Philadelphia crime family']",['Gambino crime family']
DeCavalcante crime family,New Orleans crime family,United States,United States,True,4,12,"['Cleveland crime family', 'Gambino crime family', 'Genovese crime family', 'Philadelphia crime family']",['Gambino crime family']
Detroit Partnership,Hells Angels Motorcycle Club,United States,United States,True,7,12,"['Bufalino crime family', 'Buffalo crime family', 'Cleveland crime family', 'Gambino crime family', 'Genovese crime family', 'Los Angeles crime family', 'Patriarca crime family']",[]
Clan dei Casamonica,Nuova Camorra Organizzata,Italy,Italy,True,3,12,"[""'Ndrangheta"", ""'Ndrina Piromalli"", 'Banda della Magliana']",[]
Bonanno crime family,Pittsburgh crime family,United States,United States,True,7,12,"['Chicago Outfit', 'Detroit Partnership', 'Genovese crime family', 'Philadelphia crime family', 'Rochester crime family', 'San Jose crime family', 'Trafficante crime family']",['Genovese crime family']
Los Angeles crime family,Outlaws Motorcycle Club,United States,United States,True,5,12,"['Buffalo crime family', 'Chicago Outfit', 'Detroit Partnership', 'Genovese crime family', 'New Orleans crime family']",['Buffalo crime family']
Sacra Corona Unita,Sicilian Mafia,Italy,Italy,True,4,11,"[""'Ndrangheta"", 'American Mafia', 'Camorra', 'Polverino clan']","[""'Ndrangheta""]"
Chicago Outfit,DeCavalcante crime family,United States,United States,True,7,11,"['Bonanno crime family', 'Cleveland crime family', 'Colombo crime family', 'Gambino crime family', 'Genovese crime family', 'Lucchese crime family', 'Patriarca crime family']",['Gambino crime family']
Hells Angels Motorcycle Club,New Orleans crime family,United States,United States,True,5,11,"['Buffalo crime family', 'Cleveland crime family', 'Gambino crime family', 'Genovese crime family', 'Los Angeles crime family']",[]
Los Angeles crime family,Pittsburgh crime family,United States,United States,True,7,11,"['Bufalino crime family', 'Chicago Outfit', 'Cleveland crime family', 'Detroit Partnership', 'Genovese crime family', 'Kansas City crime family', 'San Jose crime family']",['Cleveland crime family']
'Ndrina Alvaro,'Ndrina Bellocco,Italy,Italy,True,4,11,"[""'Ndrina Molè"", ""'Ndrina Pesce"", ""'Ndrina Piromalli"", ""Aquino 'ndrina""]","[""'Ndrina Pesce""]"
Buffalo crime family,DeCavalcante crime family,United States,United States,True,4,11,"['Bonanno crime family', 'Colombo crime family', 'Genovese crime family', 'Lucchese crime family']",['Bonanno crime family']
'Ndrangheta,Oficina de Envigado,Italy,Colombia,False,5,10,"['American Mafia', 'Autodefensas Unidas de Colombia', 'Clan del Golfo', 'Los Zetas', 'Sinaloa Cartel']",['Clan del Golfo']
DeCavalcante crime family,Hells Angels Motorcycle Club,United States,United States,True,4,10,"['Cleveland crime family', 'Gambino crime family', 'Genovese crime family', 'Patriarca crime family']",['Gambino crime family']
DeCavalcante crime family,Los Angeles crime family,United States,United States,True,5,10,"['Cleveland crime family', 'Colombo crime family', 'Gambino crime family', 'Genovese crime family', 'Patriarca crime family']",['Gambino crime family']
Bufalino crime family,DeCavalcante crime family,United States,United States,True,5,10,"['Cleveland crime family', 'Colombo crime family', 'Genovese crime family', 'Patriarca crime family', 'Philadelphia crime family']",['Genovese crime family']
Bufalino crime family,New Orleans crime family,United States,United States,True,6,10,"['Buffalo crime family', 'Cleveland crime family', 'Detroit Partnership', 'Genovese crime family', 'Los Angeles crime family', 'Philadelphia crime family']",['Genovese crime family']
Detroit Partnership,Kansas City crime family,United States,United States,True,6,10,"['Chicago Outfit', 'Cleveland crime family', 'Los Angeles crime family', 'New Orleans crime family', 'Pittsburgh crime family', 'St. Louis crime family']",[]
'Ndrina Molè,Aquino 'ndrina,Italy,Italy,True,5,10,"[""'Ndrina Alvaro"", ""'Ndrina Bellocco"", ""'Ndrina Pesce"", ""'Ndrina Piromalli"", ""Commisso 'ndrina""]",[]
Lashkar-e-Taiba,Tehreek-e-Taliban Pakistan,Pakistan,Pakistan,True,4,10,"['Al-Qaeda', 'Harkat-ul-Jihad al-Islami', 'Islamic State – Khorasan Province', 'Taliban']",['Taliban']
'Ndrangheta,Mara Salvatrucha,Italy,United States,False,6,9,"['Big Circle Gang', 'Cártel de Jalisco Nueva Generación', 'Gulf Cartel', 'Los Zetas', 'Sinaloa Cartel', 'Tren de Aragua']",['Los Zetas']
Beltrán-Leyva Organization,Clan del Golfo,Mexico,Colombia,False,3,9,"['Cártel de Jalisco Nueva Generación', 'Los Zetas', 'Sinaloa Cartel']",['Sinaloa Cartel']
Clan dei Casamonica,Sicilian Mafia,Italy,Italy,True,3,9,"[""'Ndrangheta"", 'Banda della Magliana', 'Camorra']","[""'Ndrangheta""]"
Clan dei Casamonica,Società foggiana,Italy,Italy,True,3,9,"[""'Ndrangheta"", 'Banda della Magliana', 'Camorra']",['Camorra']
Alfieri clan,Mallardo clan,Italy,Italy,True,3,9,"['Cesarano clan', 'Clan Cappello', 'Clan dei Casalesi']",['Clan dei Casalesi']
DeCavalcante crime family,Trafficante crime family,United States,United States,True,4,9,"['Bonanno crime family', 'Gambino crime family', 'Genovese crime family', 'Lucchese crime family']",['Gambino crime family']
Patriarca crime family,Trafficante crime family,United States,United States,True,5,9,"['Bonanno crime family', 'Chicago Outfit', 'Detroit Partnership', 'Gambino crime family', 'Genovese crime family']",[]
'Ndrina Alvaro,'Ndrina Mancuso,Italy,Italy,True,4,9,"[""'Ndrina De Stefano"", ""'Ndrina Pesce"", ""'Ndrina Piromalli"", 'Revolutionary Armed Forces of Colombia']",[]
Patriarca crime family,Pittsburgh crime family,United States,United States,True,5,9,"['Bufalino crime family', 'Chicago Outfit', 'Detroit Partnership', 'Genovese crime family', 'Philadelphia crime family']",[]
American Mafia,Cali Cartel,United States,Colombia,False,5,8,"['Big Circle Gang', 'Camorra', 'Martinez Familia Sangeros', 'Sinaloa Cartel', 'West End Gang']",[]
Autodefensas Unidas de Colombia,Los Zetas,Colombia,Mexico,False,5,8,"[""'Ndrangheta"", 'Cartel del Norte del Valle', 'Los Rastrojos', 'Oficina de Envigado', 'Sinaloa Cartel']",['Sinaloa Cartel']
Cali Cartel,La Familia Michoacana,Colombia,Mexico,False,4,8,"['Gulf Cartel', 'Juárez Cartel', 'Sinaloa Cartel', 'Tijuana Cartel']",['Gulf Cartel']
Hells Angels Motorcycle Club,Latin Kings,United States,United States,True,5,8,"['American Mafia', 'Diablos Motorcycle Club', 'Gambino crime family', 'Genovese crime family', 'Sinaloa Cartel']",['Diablos Motorcycle Club']
La Línea,Mara Salvatrucha,Mexico,United States,False,4,8,"['Cártel de Jalisco Nueva Generación', 'Gulf Cartel', 'Los Zetas', 'Tren de Aragua']",['Los Zetas']
'Ndrina Morabito,'Ndrina Pesce,Italy,Italy,True,6,8,"[""'Ndrina Cataldo"", ""'Ndrina Mancuso"", ""'Ndrina Mazzaferro"", ""Aquino 'ndrina"", 'Basilischi', 'Clan dei Casalesi']",[]
Gambino crime family,Sinaloa Cartel,United States,Mexico,False,5,8,"[""'Ndrangheta"", 'Crips', 'Hells Angels Motorcycle Club', 'Latin Kings', 'Mexican Mafia']",[]
Genovese crime family,San Jose crime family,United States,United States,True,6,8,"['Bonanno crime family', 'Chicago Outfit', 'Dallas crime family', 'Hells Angels Motorcycle Club', 'Los Angeles crime family', 'Pittsburgh crime family']",['Bonanno crime family']
Rizzuto crime family,Sinaloa Cartel,Canada,Mexico,False,5,8,"[""'Ndrangheta"", 'Hells Angels Motorcycle Club', 'Independent Soldiers', 'West End Gang', 'Wolfpack Alliance']",['Wolfpack Alliance']
Clan Di Lauro,Commisso 'ndrina,Italy,Italy,True,4,8,"['Clan Licciardi', 'Contini clan', 'Mallardo clan', 'Secondigliano Alliance']",[]
Mallardo clan,Nuova Famiglia,Italy,Italy,True,3,8,"['Cesarano clan', 'Clan dei Casalesi', 'Contini clan']",['Clan dei Casalesi']
Armenian Power,Sinaloa Cartel,United States,Mexico,False,4,8,"['American Mafia', 'Los Cachiros', 'Mexican Mafia', 'Vineland Boys']",[]
Los Angeles crime family,St. Louis crime family,United States,United States,True,5,8,"['Chicago Outfit', 'Cleveland crime family', 'Colorado crime family', 'Detroit Partnership', 'Kansas City crime family']",[]
