a,b,country_a,country_b,same_country,n_coop_partners,score_coop_partners,n_adversaries,score_adversaries,coop_partners,adversaries
Gambino crime family,Rizzuto crime family,United States,Canada,False,4,13,1,2,"[""'Ndrangheta"", 'Bonanno crime family', 'Cuntrera-Caruana Mafia clan', 'Hells Angels Motorcycle Club']",['Bonanno crime family']
Cártel de Santa Rosa de Lima,Knights Templar Cartel,Mexico,Mexico,True,3,5,2,9,"['Gulf Cartel', 'Los Viagras', 'Sinaloa Cartel']","['Cártel de Jalisco Nueva Generación', 'Los Zetas']"
Sacra Corona Unita,Sicilian Mafia,Italy,Italy,True,4,11,1,2,"[""'Ndrangheta"", 'American Mafia', 'Camorra', 'Polverino clan']",['Nuova Camorra Organizzata']
Cártel de Santa Rosa de Lima,Nueva Plaza Cartel,Mexico,Mexico,True,2,4,1,9,"['Grupo Flechas', 'Sinaloa Cartel']",['Cártel de Jalisco Nueva Generación']
La Familia Michoacana,Nueva Plaza Cartel,Mexico,Mexico,True,1,5,1,8,['Sinaloa Cartel'],['Cártel de Jalisco Nueva Generación']
Comanchero Motorcycle Club,Mongols MC,Australia,United States,False,1,1,2,11,['Hells Angels Motorcycle Club'],"['Bandidos Motorcycle Club', 'Hells Angels Motorcycle Club']"
Latin Kings,Mexican Mafia,United States,United States,True,5,7,3,5,"['18th Street Gang', 'American Mafia', 'Gambino crime family', 'Gulf Cartel', 'Sinaloa Cartel']","['Crips', 'Mara Salvatrucha', 'Tiny Rascal Gang']"
Genovese crime family,Rizzuto crime family,United States,Canada,False,2,10,1,2,"['Bonanno crime family', 'Hells Angels Motorcycle Club']",['Bonanno crime family']
Buffalo crime family,Rizzuto crime family,United States,Canada,False,2,9,3,3,"['Bonanno crime family', 'Hells Angels Motorcycle Club']","['Bonanno crime family', 'Cotroni crime family', 'Siderno Group']"
Knights Templar Cartel,Nueva Plaza Cartel,Mexico,Mexico,True,1,5,1,6,['Sinaloa Cartel'],['Cártel de Jalisco Nueva Generación']
Los Zetas,Nueva Plaza Cartel,Mexico,Mexico,True,2,2,1,9,"['Grupo Flechas', 'Sinaloa Cartel']",['Cártel de Jalisco Nueva Generación']
Cárteles Unidos,Nueva Plaza Cartel,Mexico,Mexico,True,1,2,1,9,['Sinaloa Cartel'],['Cártel de Jalisco Nueva Generación']
Luppino crime family,Papalia crime family,Canada,Canada,True,1,5,2,5,['Buffalo crime family'],"['Musitano crime family', 'Rizzuto crime family']"
