id;dia_semana;horario;mortos
10;Segunda;15:30:00;0
10;Segunda;15:30:00;0
1032898;Segunda;14:25:00;0
1051130;Segunda;02:10:00;2
1066824;Terça;05:30:00;0
1069918;Domingo;17:40:00;0
1070971;Segunda;08:10:00;0
1137914;Domingo;22:30:00;0
1179288;Domingo;20:30:00;0
1254853;Quinta;21:10:00;0
1333766;Terça;14:00:00;0
173714;Segunda;00:03:00;0
173715;Segunda;00:50:00;0
173720;Segunda;01:45:00;0
173726;Segunda;00:50:00;0
173730;Segunda;00:05:00;0
173734;Segunda;02:00:00;0
173737;Segunda;02:00:00;0
173739;Segunda;02:30:00;0
173740;Segunda;00:40:00;0
173741;Segunda;03:20:00;0
173742;Segunda;02:20:00;1
173743;Segunda;02:55:00;0
173746;Segunda;02:20:00;0
173748;Segunda;04:00:00;0
173749;Segunda;04:15:00;0
173750;Segunda;04:56:00;0
173751;Segunda;01:00:00;0
173755;Segunda;01:00:00;0
173756;Segunda;02:30:00;0
173757;Segunda;04:25:00;0
173758;Segunda;03:15:00;0
173759;Segunda;04:30:00;0
173761;Segunda;05:20:00;0
173763;Segunda;02:20:00;0
173764;Segunda;02:00:00;0
173767;Segunda;03:00:00;1
173770;Segunda;01:20:00;0
173771;Segunda;06:45:00;0
173774;Segunda;01:00:00;0
173776;Segunda;02:30:00;0
173781;Segunda;06:30:00;0
173789;Segunda;07:45:00;0
173790;Segunda;01:43:00;0
173793;Segunda;04:10:00;0
173803;Segunda;03:30:00;0
173810;Segunda;09:50:00;0
173811;Segunda;06:30:00;0
173812;Segunda;09:45:00;0
173817;Segunda;09:40:00;0
173818;Segunda;09:05:00;0
173819;Segunda;08:50:00;0
173822;Segunda;06:35:00;0
173826;Segunda;08:10:00;0
173827;Segunda;08:40:00;0
173830;Segunda;09:40:00;0
173832;Segunda;07:00:00;0
173834;Segunda;09:30:00;0
173837;Segunda;08:20:00;0
173838;Segunda;07:30:00;0
173840;Segunda;09:00:00;0
173842;Segunda;08:20:00;0
173843;Segunda;11:40:00;0
173844;Segunda;04:30:00;0
173848;Segunda;09:10:00;0
173849;Segunda;11:30:00;0
173850;Segunda;11:20:00;0
173851;Segunda;10:20:00;0
173854;Segunda;06:30:00;0
173857;Segunda;11:00:00;0
173859;Segunda;08:00:00;0
173860;Segunda;09:20:00;0
173863;Segunda;12:10:00;1
173865;Segunda;07:20:00;0
173867;Segunda;09:20:00;0
173868;Segunda;08:00:00;0
173869;Segunda;09:45:00;0
173875;Segunda;14:50:00;0
173880;Segunda;11:00:00;0
173881;Segunda;08:45:00;0
173882;Segunda;13:00:00;0
173883;Segunda;14:00:00;0
173884;Segunda;14:45:00;0
173885;Segunda;14:40:00;0
173886;Segunda;13:35:00;0
173887;Segunda;14:30:00;0
173889;Segunda;10:40:00;0
173890;Segunda;12:30:00;0
173891;Segunda;09:50:00;0
173892;Segunda;14:35:00;0
173893;Segunda;09:45:00;0
173896;Segunda;13:30:00;0
173897;Segunda;05:40:00;0
173898;Segunda;10:30:00;0
173899;Segunda;15:45:00;0
173900;Segunda;12:00:00;0
173901;Segunda;15:15:00;0
173902;Segunda;12:15:00;0
173904;Segunda;13:45:00;0
173906;Segunda;14:30:00;0
173907;Segunda;16:00:00;0
173909;Segunda;14:30:00;0
173910;Segunda;15:00:00;0
173911;Segunda;16:40:00;0
173912;Segunda;16:15:00;0
173913;Segunda;14:08:00;0
173914;Segunda;12:50:00;0
173915;Segunda;14:00:00;0
173917;Segunda;16:50:00;0
173921;Segunda;15:00:00;0
173922;Segunda;13:35:00;0
173923;Segunda;14:20:00;0
173925;Segunda;11:50:00;0
173928;Segunda;14:40:00;0
173929;Segunda;16:30:00;0
173932;Segunda;13:45:00;0
173933;Segunda;18:10:00;0
173934;Segunda;16:40:00;0
173935;Segunda;17:00:00;0
173936;Segunda;11:20:00;0
173937;Segunda;18:00:00;0
173938;Segunda;17:55:00;0
173939;Segunda;15:00:00;0
173940;Segunda;18:20:00;0
173941;Segunda;18:20:00;0
173942;Segunda;17:25:00;0
173943;Segunda;17:30:00;0
173944;Segunda;12:30:00;0
173945;Segunda;07:15:00;0
173946;Segunda;18:15:00;0
173947;Segunda;16:40:00;0
173948;Segunda;19:00:00;0
173949;Segunda;15:45:00;0
173951;Segunda;13:00:00;0
173952;Segunda;16:35:00;0
173954;Segunda;17:15:00;0
173955;Segunda;01:30:00;0
173957;Segunda;17:45:00;0
173958;Segunda;18:00:00;0
173959;Segunda;20:45:00;0
173961;Segunda;17:15:00;0
173962;Segunda;17:35:00;0
173963;Segunda;16:20:00;0
173964;Segunda;19:00:00;0
173965;Segunda;16:30:00;0
173968;Segunda;17:00:00;0
173969;Segunda;14:40:00;0
173970;Segunda;20:00:00;0
173971;Segunda;20:15:00;0
173973;Segunda;14:00:00;0
173975;Segunda;17:00:00;0
173976;Segunda;14:20:00;0
173977;Segunda;21:00:00;0
173978;Segunda;19:20:00;0
173979;Segunda;20:00:00;0
173980;Segunda;16:15:00;0
173981;Segunda;15:50:00;0
173982;Segunda;19:11:00;0
173983;Segunda;14:01:00;0
173984;Segunda;17:30:00;0
173985;Segunda;17:10:00;0
173987;Segunda;18:00:00;0
173988;Segunda;11:15:00;0
173989;Segunda;13:30:00;0
173990;Segunda;22:00:00;0
173991;Segunda;16:10:00;0
173992;Segunda;17:40:00;0
173993;Segunda;16:00:00;0
173994;Segunda;15:00:00;0
173995;Segunda;16:10:00;0
173996;Segunda;19:40:00;0
173997;Segunda;14:00:00;0
173998;Segunda;18:00:00;0
173999;Segunda;17:40:00;0
174001;Segunda;15:10:00;0
174003;Segunda;18:45:00;0
174004;Segunda;19:20:00;0
174005;Segunda;15:20:00;0
174007;Segunda;18:30:00;0
174008;Segunda;18:20:00;0
174009;Segunda;17:15:00;0
174010;Segunda;18:40:00;0
174011;Segunda;17:30:00;0
174012;Segunda;12:45:00;0
174013;Segunda;20:55:00;0
174014;Segunda;12:20:00;0
174015;Segunda;17:00:00;0
174016;Segunda;16:00:00;0
174022;Segunda;21:40:00;1
174024;Segunda;22:00:00;0
174025;Segunda;19:30:00;0
174026;Segunda;22:40:00;0
174029;Segunda;17:20:00;0
174030;Segunda;20:10:00;0
174031;Segunda;22:20:00;0
174032;Segunda;20:15:00;0
174033;Segunda;18:10:00;0
174034;Segunda;21:00:00;0
174036;Segunda;21:45:00;0
174037;Segunda;19:40:00;0
174038;Segunda;15:20:00;0
174039;Segunda;14:30:00;0
174040;Segunda;17:09:00;0
174042;Segunda;19:30:00;0
174043;Segunda;20:30:00;0
174044;Terça;01:20:00;0
174045;Segunda;18:30:00;0
174046;Segunda;16:40:00;0
174048;Segunda;13:05:00;0
