dia_semana;hour;mortos
domingo;0;22.0
domingo;1;37.0
domingo;2;49.0
domingo;3;42.0
domingo;4;54.0
domingo;5;55.0
domingo;6;44.0
domingo;7;25.0
domingo;8;26.0
domingo;9;15.0
domingo;10;30.0
domingo;11;23.0
domingo;12;17.0
domingo;13;20.0
domingo;14;39.0
domingo;15;28.0
domingo;16;33.0
domingo;17;37.0
domingo;18;83.0
domingo;19;84.0
domingo;20;54.0
domingo;21;63.0
domingo;22;43.0
domingo;23;34.0
quarta-feira;0;18.0
quarta-feira;1;14.0
quarta-feira;2;4.0
quarta-feira;3;9.0
quarta-feira;4;22.0
quarta-feira;5;29.0
quarta-feira;6;22.0
quarta-feira;7;35.0
quarta-feira;8;20.0
quarta-feira;9;16.0
quarta-feira;10;15.0
quarta-feira;11;23.0
quarta-feira;12;22.0
quarta-feira;13;20.0
quarta-feira;14;18.0
quarta-feira;15;25.0
quarta-feira;16;22.0
quarta-feira;17;35.0
quarta-feira;18;32.0
quarta-feira;19;39.0
quarta-feira;20;25.0
quarta-feira;21;38.0
quarta-feira;22;24.0
quarta-feira;23;17.0
quinta-feira;0;11.0
quinta-feira;1;15.0
quinta-feira;2;15.0
quinta-feira;3;19.0
quinta-feira;4;23.0
quinta-feira;5;24.0
quinta-feira;6;26.0
quinta-feira;7;26.0
quinta-feira;8;21.0
quinta-feira;9;14.0
quinta-feira;10;23.0
quinta-feira;11;18.0
quinta-feira;12;16.0
quinta-feira;13;25.0
quinta-feira;14;24.0
quinta-feira;15;23.0
quinta-feira;16;22.0
quinta-feira;17;37.0
quinta-feira;18;57.0
quinta-feira;19;46.0
quinta-feira;20;42.0
quinta-feira;21;20.0
quinta-feira;22;30.0
quinta-feira;23;24.0
segunda-feira;0;25.0
segunda-feira;1;18.0
segunda-feira;2;15.0
segunda-feira;3;21.0
segunda-feira;4;24.0
segunda-feira;5;28.0
segunda-feira;6;36.0
segunda-feira;7;28.0
segunda-feira;8;19.0
segunda-feira;9;19.0
segunda-feira;10;27.0
segunda-feira;11;21.0
segunda-feira;12;24.0
segunda-feira;13;21.0
segunda-feira;14;35.0
segunda-feira;15;22.0
segunda-feira;16;22.0
segunda-feira;17;25.0
segunda-feira;18;39.0
segunda-feira;19;42.0
segunda-feira;20;30.0
segunda-feira;21;30.0
segunda-feira;22;24.0
segunda-feira;23;15.0
sexta-feira;0;13.0
sexta-feira;1;15.0
sexta-feira;2;13.0
sexta-feira;3;18.0
sexta-feira;4;22.0
sexta-feira;5;38.0
sexta-feira;6;32.0
sexta-feira;7;26.0
sexta-feira;8;6.0
sexta-feira;9;28.0
sexta-feira;10;16.0
sexta-feira;11;22.0
sexta-feira;12;20.0
sexta-feira;13;20.0
sexta-feira;14;29.0
sexta-feira;15;34.0
sexta-feira;16;32.0
sexta-feira;17;39.0
sexta-feira;18;46.0
sexta-feira;19;64.0
sexta-feira;20;63.0
sexta-feira;21;44.0
sexta-feira;22;41.0
sexta-feira;23;31.0
sábado;0;28.0
sábado;1;17.0
sábado;2;28.0
sábado;3;35.0
sábado;4;32.0
sábado;5;47.0
sábado;6;37.0
sábado;7;20.0
sábado;8;24.0
sábado;9;27.0
sábado;10;28.0
sábado;11;28.0
sábado;12;24.0
sábado;13;22.0
sábado;14;28.0
sábado;15;36.0
sábado;16;36.0
sábado;17;32.0
sábado;18;93.0
sábado;19;77.0
sábado;20;74.0
sábado;21;57.0
sábado;22;45.0
sábado;23;35.0
terça-feira;0;12.0
terça-feira;1;11.0
terça-feira;2;9.0
terça-feira;3;12.0
terça-feira;4;17.0
terça-feira;5;23.0
terça-feira;6;32.0
terça-feira;7;26.0
terça-feira;8;24.0
terça-feira;9;15.0
terça-feira;10;18.0
terça-feira;11;13.0
terça-feira;12;13.0
terça-feira;13;24.0
terça-feira;14;18.0
terça-feira;15;21.0
terça-feira;16;21.0
terça-feira;17;22.0
terça-feira;18;60.0
terça-feira;19;42.0
terça-feira;20;23.0
terça-feira;21;22.0
terça-feira;22;27.0
terça-feira;23;19.0
