rank,organization,country,cross_edges,communities_bridged,own_community_size,communities_reached
1,Hells Angels Motorcycle Club,United States,147,25,243,Mexican Cartel Network and Rivalries (159); American Mafia Network (111); US Prison Gangs and Affiliates (51); Italian Mafia Network and Offshoots (50); Chinese and Southeast Asian Criminal Networks (40); British Columbia Gang Conflict Network (38); Colombian Cartels and Paramilitaries (32); Calabrian 'Ndrangheta Clans Network (28); Irish Republican and Criminal Networks (24); New Zealand Gang Alliances and Rivalries (22); Scandinavian Immigrant Gangs and Allies (18); Indigenous Canadian Street Gangs (17); Ecuadorian Cartel Splinter Network (17); Canadian-Italian Mafia Networks (16); Haitian-American Gang Alliances (15); Outlaw Motorcycle Club Network (12); Serbian-Swedish Criminal Network (12); Quebec Biker Wars and Alliances (11); Blue Angels MC and Affiliates (7); Finnish Biker Gang Network (6); Danish Biker Gangs and Rivals (5); Brother Speed and Associates (4); Mhallami Mafia Clans in Germany (4); Edmonton Vietnamese Gang Succession (3); 1947 Hollister Riot Motorcycle Clubs (3)
2,'Ndrangheta,Italy,146,43,50,Global Outlaw Biker Network (243); Mexican Cartel Network and Rivalries (159); American Mafia Network (111); Naples Camorra Clans and Alliances (96); Camorra-Cosa Nostra Coalition Network (68); Brazilian Prison Gangs and Drug Trafficking Networks (54); Calabrian 'Ndrangheta Clans Network (47); Colombian Paramilitary and Drug Trafficking Networks (45); Second 'Ndrangheta War Factions (42); Chinese and Southeast Asian Criminal Networks (40); Catania Mafia and Allied Clans (33); Calabrian 'Ndrangheta Core Alliance (31); Calabrian 'Ndrangheta Clans Network (28); Vibo Valentia 'Ndrangheta Clans (26); Irish Republican and Criminal Networks (24); Africo 'Ndrangheta Coalition (22); Roman Mafia Networks (19); Ecuadorian Cartel Splinter Network (17); San Luca 'Ndrangheta Clans (17); Platì 'Ndrangheta Clans Network (16); Canadian-Italian Mafia Networks (16); Cosenza 'Ndrangheta Clans and Feuds (15); Haitian-American Gang Alliances (15); Basque Separatist Network and Allies (14); Sibari Plain 'Ndrangheta Clans (13); Oppido Mamertina 'Ndrangheta Feud (13); Tren de Aragua and Its Network (12); Lamezia Terme 'Ndrangheta Feud (11); Corsican Mafia Network (10); Sinesi-Francavilla and Moretti-Pellegrino-Lanza Network (10); Bari Mafia Clusters and Rivalries (9); Crotone 'Ndrangheta Clans (8); Russian Mafia Power Struggles (8); Neapolitan Clan Drug Trafficking Network (7); Montenegrin Mafia Clusters (7); Melbourne Gangland Crime Network (7); Stefanaconi Feud 'Ndrangheta Cluster (5); Sicilian Mafia Factions in Conflict (5); Italian Mafia Clans in Conflict (4); Calabrian 'Ndrangheta Allied Families (3); Ndrangheta Locali in Calabria (2); Gentile-Besaldo 'Ndrangheta Clan (2); Ndrangheta High-Rank Structure (2)
3,Camorra,Italy,105,23,50,Mexican Cartel Network and Rivalries (159); Global Jihadist Network and Affiliates (120); American Mafia Network (111); Naples Camorra Clans and Alliances (96); Camorra-Cosa Nostra Coalition Network (68); Second 'Ndrangheta War Factions (42); Chinese and Southeast Asian Criminal Networks (40); Catania Mafia and Allied Clans (33); Colombian Cartels and Paramilitaries (32); Calabrian 'Ndrangheta Core Alliance (31); Irish Republican and Criminal Networks (24); Africo 'Ndrangheta Coalition (22); Roman Mafia Networks (19); Tren de Aragua and Its Network (12); Ercolano Camorra Feuds and Alliances (9); Veneto Mala del Brenta Network (7); Melbourne Gangland Crime Network (7); Early New York Mafia Rivalries (5); Serbian Mafia and Paramilitary Ties (4); Early New York Mafia Rivalries (4); Baltimore Crew Leadership Families (3); Verde Clan Conflicts (3); Milanese Gang Rivalry and Alliance (2)
4,American Mafia,United States,104,24,50,Global Outlaw Biker Network (243); Mexican Cartel Network and Rivalries (159); American Mafia Network (111); Chicago Gang Alliances and Rivalries (77); Camorra-Cosa Nostra Coalition Network (68); US Prison Gangs and Affiliates (51); Colombian Paramilitary and Drug Trafficking Networks (45); Second 'Ndrangheta War Factions (42); Chinese and Southeast Asian Criminal Networks (40); Brooklyn Street Gangs and Rivalries (24); Bloods and Crips Rivalry Network (20); Roman Mafia Networks (19); San Luca 'Ndrangheta Clans (17); Canadian-Italian Mafia Networks (16); Puerto Rican Criminal Network (16); Palermo Mafia Clans and Conflicts (14); Tren de Aragua and Its Network (12); Corsican Mafia Network (10); New York Chinatown Gang Conflicts (9); LA-Israel Crime Alliance and Rivalries (9); London Gangland Rivalries and Alliances (8); Russian-Japanese Criminal Alliance (8); Ndrangheta Clans in Calabrian Feuds (6); Sicilian Mafia Clans in Trapani (5)
5,Sinaloa Cartel,Mexico,95,23,159,Global Outlaw Biker Network (243); American Mafia Network (111); Chicago Gang Alliances and Rivalries (77); Japanese Yakuza Syndicate Network (68); US Prison Gangs and Affiliates (51); Italian Mafia Network and Offshoots (50); Colombian Paramilitary and Drug Trafficking Networks (45); Chinese and Southeast Asian Criminal Networks (40); Axis of Resistance and Palestinian Factions (40); British Columbia Gang Conflict Network (38); Colombian Cartels and Paramilitaries (32); Los Angeles Gang Alliances and Rivalries (29); Irish Republican and Criminal Networks (24); Bloods and Crips Rivalry Network (20); Ecuadorian Cartel Splinter Network (17); Canadian-Italian Mafia Networks (16); Filipino and Latino Street Gangs in Los Angeles (15); Tren de Aragua and Its Network (12); LA-Israel Crime Alliance and Rivalries (9); Russian Mafia Power Struggles (8); Russian-Japanese Criminal Alliance (8); Galician Drug Trafficking Rivalries (3); Guatemala-Mexico Border Drug Rivalry (3)
6,Mexican Mafia,United States,75,15,51,Global Outlaw Biker Network (243); Mexican Cartel Network and Rivalries (159); American Mafia Network (111); Italian Mafia Network and Offshoots (50); Chinese and Southeast Asian Criminal Networks (40); British Columbia Gang Conflict Network (38); Los Angeles Gang Alliances and Rivalries (29); Bloods and Crips Rivalry Network (20); Filipino and Latino Street Gangs in Los Angeles (15); Texas White Supremacist Prison Gangs (10); LA-Israel Crime Alliance and Rivalries (9); Venice Area Gang Conflicts and Alliances (9); Sureños Gang Conflicts and Alliances (8); East LA Sureño Gang Conflicts (7); El Monte Flores and Rivals (5)
7,Mara Salvatrucha,United States,72,12,29,Mexican Cartel Network and Rivalries (159); American Mafia Network (111); Chicago Gang Alliances and Rivalries (77); US Prison Gangs and Affiliates (51); Chinese and Southeast Asian Criminal Networks (40); Bloods and Crips Rivalry Network (20); Puerto Rican Criminal Network (16); Westside Locos and Affiliates (15); Haitian-American Gang Alliances (15); Tren de Aragua and Its Network (12); Pacific Islander Crip Network (10); LA-Israel Crime Alliance and Rivalries (9)
8,Nuova Camorra Organizzata,Italy,61,9,68,Naples Camorra Clans and Alliances (96); Italian Mafia Network and Offshoots (50); Second 'Ndrangheta War Factions (42); Calabrian 'Ndrangheta Core Alliance (31); Roman Mafia Networks (19); Oppido Mamertina 'Ndrangheta Feud (13); Camorra Clans of Quindici (12); Galician Drug Trafficking Rivalries (3); Milanese Gang Rivalry and Alliance (2)
9,Crips,United States,61,20,20,Mexican Cartel Network and Rivalries (159); American Mafia Network (111); Chicago Gang Alliances and Rivalries (77); US Prison Gangs and Affiliates (51); Italian Mafia Network and Offshoots (50); Chinese and Southeast Asian Criminal Networks (40); Los Angeles Gang Alliances and Rivalries (29); Compton Piru and Crips Gang Rivalries (26); Brooklyn Street Gangs and Rivalries (24); New Zealand Gang Alliances and Rivalries (22); Outlaw Motorcycle Club Network (18); Puerto Rican Criminal Network (16); Haitian-American Gang Alliances (15); Pacific Islander Crip Network (10); Venice Area Gang Conflicts and Alliances (9); Compton Crips and Rivalries (8); Rollin' Crips and Rival Bloods (7); Belize City Gang Rivalries (6); Watts Gang Alliances and Feuds (5); Buffalo Street Gang Rivalries (3)
10,Bloods,United States,58,16,20,American Mafia Network (111); Chicago Gang Alliances and Rivalries (77); US Prison Gangs and Affiliates (51); Italian Mafia Network and Offshoots (50); Chinese and Southeast Asian Criminal Networks (40); Los Angeles Gang Alliances and Rivalries (29); Compton Piru and Crips Gang Rivalries (26); New Zealand Gang Alliances and Rivalries (22); Puerto Rican Criminal Network (16); Haitian-American Gang Alliances (15); Bronx Gangs and Peace Efforts (7); Rollin' Crips and Rival Bloods (7); Belize City Gang Rivalries (6); Native Mob and Rival Gangs (6); Watts Gang Alliances and Feuds (5); Buffalo Street Gang Rivalries (3)
11,Latin Kings,United States,52,12,77,Global Outlaw Biker Network (243); Mexican Cartel Network and Rivalries (159); American Mafia Network (111); US Prison Gangs and Affiliates (51); Italian Mafia Network and Offshoots (50); Chinese and Southeast Asian Criminal Networks (40); Los Angeles Gang Alliances and Rivalries (29); Bloods and Crips Rivalry Network (20); Ecuadorian Cartel Splinter Network (17); Puerto Rican Criminal Network (16); Tren de Aragua and Its Network (12); Buffalo Street Gang Rivalry (2)
12,'Ndrina Piromalli,Italy,48,12,31,Naples Camorra Clans and Alliances (96); Camorra-Cosa Nostra Coalition Network (68); Italian Mafia Network and Offshoots (50); Second 'Ndrangheta War Factions (42); Calabrian 'Ndrangheta Clans Network (28); Vibo Valentia 'Ndrangheta Clans (26); Africo 'Ndrangheta Coalition (22); Cittanova 'Ndrangheta Feuds and Alliances (19); Roman Mafia Networks (19); Cosenza 'Ndrangheta Clans and Feuds (15); Oppido Mamertina 'Ndrangheta Feud (13); Bari Mafia Clusters and Rivalries (9)
13,Buffalo crime family,United States,46,6,16,Global Outlaw Biker Network (243); American Mafia Network (111); Italian Mafia Network and Offshoots (50); Calabrian 'Ndrangheta Clans Network (28); Platì 'Ndrangheta Clans Network (16); Sicilian Mafia Clans in Trapani (5)
14,Clan dei Casalesi,Italy,43,14,68,American Mafia Network (111); Naples Camorra Clans and Alliances (96); Italian Mafia Network and Offshoots (50); Catania Mafia and Allied Clans (33); Calabrian 'Ndrangheta Core Alliance (31); Vibo Valentia 'Ndrangheta Clans (26); Africo 'Ndrangheta Coalition (22); Camorra Clans of Quindici (12); Ciminà Feud Coalition (7); Veneto Mala del Brenta Network (7); Casalesi Clan Conflicts (5); Nuova Camorra Speciale and Allies (3); Schiavone Faction and Autiero Clan (2); Bidognetti Faction and Allies (2)
15,Bonanno crime family,United States,43,5,111,Italian Mafia Network and Offshoots (50); Calabrian 'Ndrangheta Core Alliance (31); Bloods and Crips Rivalry Network (20); Canadian-Italian Mafia Networks (16); Sicilian Mafia Clans in Trapani (5)
16,Tren de Aragua,Venezuela,43,7,12,Mexican Cartel Network and Rivalries (159); Chicago Gang Alliances and Rivalries (77); Brazilian Prison Gangs and Drug Trafficking Networks (54); Italian Mafia Network and Offshoots (50); Colombian Paramilitary and Drug Trafficking Networks (45); Los Angeles Gang Alliances and Rivalries (29); Ecuadorian Cartel Splinter Network (17)
17,'Ndrina Mancuso,Italy,42,11,26,Camorra-Cosa Nostra Coalition Network (68); Italian Mafia Network and Offshoots (50); Calabrian 'Ndrangheta Clans Network (47); Colombian Paramilitary and Drug Trafficking Networks (45); Second 'Ndrangheta War Factions (42); Calabrian 'Ndrangheta Core Alliance (31); Calabrian 'Ndrangheta Clans Network (28); Africo 'Ndrangheta Coalition (22); Cittanova 'Ndrangheta Feuds and Alliances (19); Platì 'Ndrangheta Clans Network (16); Ciminà Feud Coalition (7)
18,Gulf Cartel,Mexico,40,11,159,Global Outlaw Biker Network (243); Chicago Gang Alliances and Rivalries (77); US Prison Gangs and Affiliates (51); Italian Mafia Network and Offshoots (50); Colombian Cartels and Paramilitaries (32); Calabrian 'Ndrangheta Core Alliance (31); Los Angeles Gang Alliances and Rivalries (29); Calabrian 'Ndrangheta Clans Network (28); Puerto Rican Criminal Network (16); Texas White Supremacist Prison Gangs (10); Guatemala-Mexico Border Drug Rivalry (3)
19,'Ndrina De Stefano,Italy,39,11,42,Camorra-Cosa Nostra Coalition Network (68); Italian Mafia Network and Offshoots (50); Calabrian 'Ndrangheta Clans Network (47); Calabrian 'Ndrangheta Core Alliance (31); Calabrian 'Ndrangheta Clans Network (28); Vibo Valentia 'Ndrangheta Clans (26); Roman Mafia Networks (19); San Luca 'Ndrangheta Clans (17); Oppido Mamertina 'Ndrangheta Feud (13); Sinesi-Francavilla and Moretti-Pellegrino-Lanza Network (10); Ndrangheta Clans in Calabrian Feuds (6)
20,Commisso 'ndrina,Italy,39,12,28,Global Outlaw Biker Network (243); Mexican Cartel Network and Rivalries (159); Naples Camorra Clans and Alliances (96); Italian Mafia Network and Offshoots (50); Second 'Ndrangheta War Factions (42); British Columbia Gang Conflict Network (38); Calabrian 'Ndrangheta Core Alliance (31); Vibo Valentia 'Ndrangheta Clans (26); Africo 'Ndrangheta Coalition (22); Calabrian 'Ndrangheta Feuds and Alliances (22); Canadian-Italian Mafia Networks (16); Stefanaconi Feud 'Ndrangheta Cluster (5)
21,Gambino crime family,United States,38,13,111,Global Outlaw Biker Network (243); Chicago Gang Alliances and Rivalries (77); Camorra-Cosa Nostra Coalition Network (68); US Prison Gangs and Affiliates (51); Italian Mafia Network and Offshoots (50); Calabrian 'Ndrangheta Clans Network (28); London-Jamaica Gang Network (24); Bloods and Crips Rivalry Network (20); Canadian-Italian Mafia Networks (16); Palermo Mafia Clans and Conflicts (14); Early New York Mafia Rivalries (5); Early New York Mafia Rivalries (4); Baltimore Crew Leadership Families (3)
22,Rizzuto crime family,Canada,37,10,16,Global Outlaw Biker Network (243); American Mafia Network (111); Italian Mafia Network and Offshoots (50); Chinese and Southeast Asian Criminal Networks (40); British Columbia Gang Conflict Network (38); Calabrian 'Ndrangheta Core Alliance (31); Calabrian 'Ndrangheta Clans Network (28); Bloods and Crips Rivalry Network (20); Quebec Biker Wars and Alliances (11); Hells Angels Cocaine Network (2)
23,Sicilian Mafia,Italy,37,16,50,Mexican Cartel Network and Rivalries (159); American Mafia Network (111); Camorra-Cosa Nostra Coalition Network (68); Calabrian 'Ndrangheta Clans Network (47); Colombian Paramilitary and Drug Trafficking Networks (45); Catania Mafia and Allied Clans (33); Cape Town Gang Rivalries and Alliances (24); Africo 'Ndrangheta Coalition (22); Roman Mafia Networks (19); Canadian-Italian Mafia Networks (16); Platì 'Ndrangheta Clans Network (16); Palermo Mafia Clans and Conflicts (14); Corsican Mafia Network (10); Russian Mafia Power Struggles (8); Veneto Mala del Brenta Network (7); Nigerian Confraternity Rivalries (5)
24,Los Zetas,Mexico,35,8,159,Global Outlaw Biker Network (243); US Prison Gangs and Affiliates (51); Italian Mafia Network and Offshoots (50); Colombian Paramilitary and Drug Trafficking Networks (45); Axis of Resistance and Palestinian Factions (40); Colombian Cartels and Paramilitaries (32); Los Angeles Gang Alliances and Rivalries (29); Calabrian 'Ndrangheta Clans Network (28)
25,18th Street Gang,United States,33,9,29,Mexican Cartel Network and Rivalries (159); Chicago Gang Alliances and Rivalries (77); US Prison Gangs and Affiliates (51); Bloods and Crips Rivalry Network (20); Filipino and Latino Street Gangs in Los Angeles (15); Tren de Aragua and Its Network (12); Pacific Islander Crip Network (10); LA-Israel Crime Alliance and Rivalries (9); Venice Area Gang Conflicts and Alliances (9)
26,Al-Qaeda,Saudi Arabia,33,7,120,Afghan-Pakistani Jihadist Network (68); Italian Mafia Network and Offshoots (50); Axis of Resistance and Palestinian Factions (40); Turkish-Kurdish Conflict Network (35); White Supremacist Terror Network (17); South Asian Jihadist Network (16); Southeast Asian Islamist Militant Network (14)
27,Revolutionary Armed Forces of Colombia,Colombia,32,11,45,Mexican Cartel Network and Rivalries (159); Brazilian Prison Gangs and Drug Trafficking Networks (54); Axis of Resistance and Palestinian Factions (40); Colombian Cartels and Paramilitaries (32); Calabrian 'Ndrangheta Core Alliance (31); Calabrian 'Ndrangheta Clans Network (28); Vibo Valentia 'Ndrangheta Clans (26); Irish Republican and Criminal Networks (24); Puerto Rican Criminal Network (16); Basque Separatist Network and Allies (14); Shining Path and Its Factions (11)
28,Outlaws Motorcycle Club,United States,32,8,243,American Mafia Network (111); Italian Mafia Network and Offshoots (50); Transnational Neo-Nazi Terror Network (34); New Zealand Gang Alliances and Rivalries (22); Outlaw Motorcycle Club Network (18); White Supremacist Terror Network (17); Canadian-Italian Mafia Networks (16); Outlaw Motorcycle Club Network (12)
