rank,community_a,size_a,community_b,size_b,cross_edges
1,Italian Mafia Network and Offshoots,50,Camorra-Cosa Nostra Coalition Network,68,75
2,American Mafia Network,111,Italian Mafia Network and Offshoots,50,66
3,Camorra-Cosa Nostra Coalition Network,68,Naples Camorra Clans and Alliances,96,60
4,Mexican Cartel Network and Rivalries,159,Colombian Cartels and Paramilitaries,32,60
5,Canadian-Italian Mafia Networks,16,American Mafia Network,111,59
6,Global Outlaw Biker Network,243,American Mafia Network,111,46
7,Mexican Cartel Network and Rivalries,159,Los Angeles Gang Alliances and Rivalries,29,45
8,Colombian Cartels and Paramilitaries,32,Colombian Paramilitary and Drug Trafficking Networks,45,40
9,Italian Mafia Network and Offshoots,50,Naples Camorra Clans and Alliances,96,39
10,Canadian-Italian Mafia Networks,16,Global Outlaw Biker Network,243,37
11,Mexican Cartel Network and Rivalries,159,Colombian Paramilitary and Drug Trafficking Networks,45,37
12,Afghan-Pakistani Jihadist Network,68,Global Jihadist Network and Affiliates,120,36
13,Mexican Cartel Network and Rivalries,159,US Prison Gangs and Affiliates,51,32
14,US Prison Gangs and Affiliates,51,Bloods and Crips Rivalry Network,20,30
15,Roman Mafia Networks,19,Italian Mafia Network and Offshoots,50,28
16,Global Outlaw Biker Network,243,British Columbia Gang Conflict Network,38,27
17,US Prison Gangs and Affiliates,51,Global Outlaw Biker Network,243,26
18,Calabrian 'Ndrangheta Core Alliance,31,Calabrian 'Ndrangheta Clans Network,28,25
19,US Prison Gangs and Affiliates,51,Los Angeles Gang Alliances and Rivalries,29,25
20,Axis of Resistance and Palestinian Factions,40,Global Jihadist Network and Affiliates,120,25
21,Bloods and Crips Rivalry Network,20,Chicago Gang Alliances and Rivalries,77,25
22,Calabrian 'Ndrangheta Core Alliance,31,Italian Mafia Network and Offshoots,50,19
23,Global Outlaw Biker Network,243,New Zealand Gang Alliances and Rivalries,22,19
24,Global Outlaw Biker Network,243,Quebec Biker Wars and Alliances,11,19
25,Global Outlaw Biker Network,243,Scandinavian Immigrant Gangs and Allies,18,18
26,Canadian-Italian Mafia Networks,16,Italian Mafia Network and Offshoots,50,17
27,Calabrian 'Ndrangheta Core Alliance,31,Vibo Valentia 'Ndrangheta Clans,26,17
28,American Mafia Network,111,Boston Irish Mob Wars and Consolidation,9,17
29,Global Outlaw Biker Network,243,Indigenous Canadian Street Gangs,17,17
30,Platì 'Ndrangheta Clans Network,16,Italian Mafia Network and Offshoots,50,16
31,Second 'Ndrangheta War Factions,42,Italian Mafia Network and Offshoots,50,14
32,Bloods and Crips Rivalry Network,20,Los Angeles Gang Alliances and Rivalries,29,14
33,US Prison Gangs and Affiliates,51,American Mafia Network,111,14
34,Catania Mafia and Allied Clans,33,Camorra-Cosa Nostra Coalition Network,68,14
35,Mexican Cartel Network and Rivalries,159,Ecuadorian Cartel Splinter Network,17,14
36,Puerto Rican Criminal Network,16,Chicago Gang Alliances and Rivalries,77,14
37,Canadian-Italian Mafia Networks,16,British Columbia Gang Conflict Network,38,14
38,Mexican Cartel Network and Rivalries,159,Italian Mafia Network and Offshoots,50,13
39,Camorra-Cosa Nostra Coalition Network,68,Camorra Clans of Quindici,12,12
40,Chinese and Southeast Asian Criminal Networks,40,Bloods and Crips Rivalry Network,20,12
41,Roman Mafia Networks,19,Camorra-Cosa Nostra Coalition Network,68,12
42,Global Outlaw Biker Network,243,Outlaw Motorcycle Club Network,12,12
43,Tren de Aragua and Its Network,12,Colombian Paramilitary and Drug Trafficking Networks,45,12
44,Africo 'Ndrangheta Coalition,22,Italian Mafia Network and Offshoots,50,11
45,Global Outlaw Biker Network,243,Italian Mafia Network and Offshoots,50,11
46,Second 'Ndrangheta War Factions,42,Calabrian 'Ndrangheta Core Alliance,31,11
47,Calabrian 'Ndrangheta Clans Network,28,Platì 'Ndrangheta Clans Network,16,11
48,Canadian-Italian Mafia Networks,16,Calabrian 'Ndrangheta Clans Network,28,11
49,Second 'Ndrangheta War Factions,42,San Luca 'Ndrangheta Clans,17,11
50,Los Angeles Gang Alliances and Rivalries,29,Chicago Gang Alliances and Rivalries,77,11
51,South Asian Jihadist Network,16,Global Jihadist Network and Affiliates,120,11
52,American Mafia Network,111,Camorra-Cosa Nostra Coalition Network,68,11
53,Second 'Ndrangheta War Factions,42,Calabrian 'Ndrangheta Clans Network,28,10
54,Mexican Cartel Network and Rivalries,159,Tren de Aragua and Its Network,12,10
55,Calabrian 'Ndrangheta Clans Network,47,Italian Mafia Network and Offshoots,50,9
56,Calabrian 'Ndrangheta Core Alliance,31,Cittanova 'Ndrangheta Feuds and Alliances,19,9
57,Calabrian 'Ndrangheta Core Alliance,31,Africo 'Ndrangheta Coalition,22,9
58,US Prison Gangs and Affiliates,51,LA-Israel Crime Alliance and Rivalries,9,9
59,Calabrian 'Ndrangheta Core Alliance,31,Camorra-Cosa Nostra Coalition Network,68,9
60,Mexican Cartel Network and Rivalries,159,British Columbia Gang Conflict Network,38,9
61,US Prison Gangs and Affiliates,51,Texas White Supremacist Prison Gangs,10,9
62,Mexican Cartel Network and Rivalries,159,Global Outlaw Biker Network,243,9
63,Calabrian 'Ndrangheta Clans Network,28,Naples Camorra Clans and Alliances,96,9
64,Calabrian 'Ndrangheta Clans Network,47,Platì 'Ndrangheta Clans Network,16,8
65,Calabrian 'Ndrangheta Clans Network,28,Africo 'Ndrangheta Coalition,22,8
66,Second 'Ndrangheta War Factions,42,Camorra-Cosa Nostra Coalition Network,68,8
67,Mexican Cartel Network and Rivalries,159,Calabrian 'Ndrangheta Clans Network,28,8
68,Sudanese-Russian Paramilitary Network,26,Global Jihadist Network and Affiliates,120,8
69,US Prison Gangs and Affiliates,51,Chicago Gang Alliances and Rivalries,77,8
70,Bloods and Crips Rivalry Network,20,New Zealand Gang Alliances and Rivalries,22,8
71,Bloods and Crips Rivalry Network,20,Puerto Rican Criminal Network,16,8
72,Bloods and Crips Rivalry Network,20,American Mafia Network,111,8
73,Catania Mafia and Allied Clans,33,Naples Camorra Clans and Alliances,96,8
74,Afghan-Pakistani Jihadist Network,68,South Asian Jihadist Network,16,8
75,Calabrian 'Ndrangheta Clans Network,28,Italian Mafia Network and Offshoots,50,7
76,Italian Mafia Network and Offshoots,50,Colombian Paramilitary and Drug Trafficking Networks,45,7
77,Calabrian 'Ndrangheta Core Alliance,31,Roman Mafia Networks,19,7
78,Calabrian 'Ndrangheta Clans Network,47,Vibo Valentia 'Ndrangheta Clans,26,7
79,Los Angeles Gang Alliances and Rivalries,29,Venice Area Gang Conflicts and Alliances,9,7
80,Southeast Asian Islamist Militant Network,14,Global Jihadist Network and Affiliates,120,7
81,American Mafia Network,111,Chicago Gang Alliances and Rivalries,77,7
82,US Prison Gangs and Affiliates,51,Chinese and Southeast Asian Criminal Networks,40,7
83,Finnish Biker Gang Network,6,Global Outlaw Biker Network,243,7
84,Catania Mafia and Allied Clans,33,Italian Mafia Network and Offshoots,50,7
85,Camorra-Cosa Nostra Coalition Network,68,Palermo Mafia Clans and Conflicts,14,7
86,British Columbia Gang Conflict Network,38,Indigenous Canadian Street Gangs,17,7
