rank,community_a,size_a,community_b,size_b,cross_edges
1,Mexican Cartel Alliance Network,82,Colombian Drug Trafficking and Paramilitary Network,24,50
2,American Mafia Network,87,Canadian Biker-Mafia Drug Network,69,36
3,Colombian-Mexican Drug Trafficking Alliance,27,Mexican Cartel Alliance Network,82,33
4,American Mafia Network,87,Italian Mafia and Allied Networks,47,25
5,American Mafia Network,87,Outlaw Biker Gangs Alliance Network,40,25
6,Mexican Mafia-Led Sureño Alliance,19,Mexican Cartel Alliance Network,82,24
7,Canadian Biker-Mafia Drug Network,69,Outlaw Biker Gangs Alliance Network,40,22
8,Italian Mafia and Allied Networks,47,Italian Mafia-Camorra Alliance Network,59,21
9,Mancuso-led 'Ndrangheta Clan Network,13,Calabrian 'Ndrangheta Clans Network,44,18
10,Mexican Cartel Alliance Network,82,Ecuadorian-Venezuelan Criminal Alliance,16,15
11,Mexican Cartel Alliance Network,82,Italian Mafia and Allied Networks,47,14
12,Colombian-Mexican Drug Trafficking Alliance,27,Colombian Drug Trafficking and Paramilitary Network,24,14
13,Naples Camorra Alliance Network,21,Italian Mafia-Camorra Alliance Network,59,14
14,Africo 'Ndrangheta Clans Coalition,20,Calabrian 'Ndrangheta Clans Network,44,13
15,Secondigliano Alliance and Allied Camorra Clans,33,Italian Mafia-Camorra Alliance Network,59,13
16,Ndrangheta Clans in Reggio Calabria,30,Calabrian 'Ndrangheta Clans Network,44,12
17,Italian Mafia and Allied Networks,47,Calabrian 'Ndrangheta Clans Network,44,12
18,Ndrangheta Clans in Reggio Calabria,30,Italian Mafia and Allied Networks,47,12
19,Camorra Clans in Campania,11,Italian Mafia-Camorra Alliance Network,59,12
20,Mexican Mafia-Led Sureño Alliance,19,White Supremacist Prison and Street Gangs,24,12
21,Italian Mafia and Allied Networks,47,Canadian Biker-Mafia Drug Network,69,11
22,Platì 'Ndrangheta Clans Alliance,16,Calabrian 'Ndrangheta Clans Network,44,11
23,Syrian Jihadist Rebel Coalition,22,Global Jihadist Network Alliance,75,11
24,Secondigliano Alliance and Allied Camorra Clans,33,Naples Camorra Alliance Network,21,11
25,Mexican Cartel Alliance Network,82,Calabrian 'Ndrangheta Clans Network,44,10
26,Mexican Cartel Alliance Network,82,Canadian Biker-Mafia Drug Network,69,10
27,US Prison and Street Gang Alliances,32,Italian Mafia and Allied Networks,47,9
28,Africo 'Ndrangheta Clans Coalition,20,Italian Mafia and Allied Networks,47,9
29,American Mafia Network,87,White Supremacist Prison and Street Gangs,24,9
30,American Mafia Network,87,Mexican Mafia-Led Sureño Alliance,19,9
31,American Mafia Network,87,US Prison and Street Gang Alliances,32,8
32,Secondigliano Alliance and Allied Camorra Clans,33,Italian Mafia and Allied Networks,47,8
33,Mexican Cartel Alliance Network,82,Sinaloa Cartel Enforcer Network,6,8
34,Calabrian 'Ndrangheta Clans Network,44,Italian Mafia-Camorra Alliance Network,59,8
35,Secondigliano Alliance and Allied Camorra Clans,33,Calabrian 'Ndrangheta Clans Network,44,8
36,Colombian-Mexican Drug Trafficking Alliance,27,Canadian Biker-Mafia Drug Network,69,8
37,Mexican Cartel Alliance Network,82,Mayiza-Led Anti-Chapitos Coalition,7,8
38,Italian Mafia and Allied Networks,47,Colombian Drug Trafficking and Paramilitary Network,24,7
39,Axis of Resistance Militant Network,17,Global Jihadist Network Alliance,75,7
40,Calabrian 'Ndrangheta Clans Alliance,32,Mancuso-led 'Ndrangheta Clan Network,13,6
41,Mancuso-led 'Ndrangheta Clan Network,13,Colombian Drug Trafficking and Paramilitary Network,24,6
42,Mexican Cartel Alliance Network,82,Los Angeles Sureño Street Gangs,10,6
43,White Supremacist Prison and Street Gangs,24,Canadian Biker-Mafia Drug Network,69,6
44,Canadian Biker-Mafia Drug Network,69,United Nations Gang and Allies,11,6
45,PCC-Led Brazilian Crime Coalition,27,Brazilian Criminal Alliance Network,9,6
46,American Mafia Network,87,Italian Mafia-Camorra Alliance Network,59,6
47,US Prison and Street Gang Alliances,32,Mexican Cartel Alliance Network,82,6
48,European Separatist and Leftist Alliances,10,Colombian Drug Trafficking and Paramilitary Network,24,6
49,PCC-Led Brazilian Crime Coalition,27,Italian Mafia and Allied Networks,47,5
50,Calabrian 'Ndrangheta Clans Alliance,32,Platì 'Ndrangheta Clans Alliance,16,5
51,Ndrangheta Clans in Reggio Calabria,30,Condello-Imerti-Serraino Alliance Network,19,5
52,Bari Mafia Alliance Network,5,Calabrian 'Ndrangheta Clans Network,44,5
53,Canadian Biker-Mafia Drug Network,69,Calabrian 'Ndrangheta Clans Network,44,5
54,Ndrangheta Clans in Reggio Calabria,30,Oppido Mamertina 'Ndrangheta Alliance,6,5
55,American Mafia Network,87,Calabrian 'Ndrangheta Clans Network,44,5
56,Mexican Cartel Alliance Network,82,Chinese-American and Asian Gangs Alliance,21,5
57,US Prison and Street Gang Alliances,32,Chicago Folk Nation Alliance,23,5
58,US Prison and Street Gang Alliances,32,New Zealand Gang Alliance Network,9,5
59,Italian Mafia and Allied Networks,47,Catania Mafia Alliances and Factions,18,5
60,Secondigliano Alliance and Allied Camorra Clans,33,Camorra Clans in Campania,11,5
