a,b,country_a,country_b,same_country,n_items,score,items,opposing
Comanchero Motorcycle Club,Mongols MC,Australia,United States,False,2,11,"['Bandidos Motorcycle Club', 'Hells Angels Motorcycle Club']",['Hells Angels Motorcycle Club']
Mongols MC,Rebels Motorcycle Club,United States,Australia,False,2,10,"['Bandidos Motorcycle Club', 'Hells Angels Motorcycle Club']",['Hells Angels Motorcycle Club']
Comanchero Motorcycle Club,Rebels Motorcycle Club,Australia,Australia,True,3,9,"['Bandidos Motorcycle Club', 'Hells Angels Motorcycle Club', 'Rock Machine Motorcycle Club']",['Hells Angels Motorcycle Club']
Nuestra Familia,Texas Syndicate,United States,United States,True,3,9,"['Aryan Brotherhood', 'Mexican Mafia', 'Mexikanemi']",[]
Cártel de Santa Rosa de Lima,Knights Templar Cartel,Mexico,Mexico,True,2,9,"['Cártel de Jalisco Nueva Generación', 'Los Zetas']",['Cártel de Jalisco Nueva Generación']
Comanchero Motorcycle Club,Vagos Motorcycle Club,Australia,United States,False,2,7,"['Bandidos Motorcycle Club', 'Hells Angels Motorcycle Club']",['Hells Angels Motorcycle Club']
Finks Motorcycle Club,Vagos Motorcycle Club,Australia,United States,False,3,7,"['Bandidos Motorcycle Club', 'Hells Angels Motorcycle Club', 'Mongols MC']",[]
Gypsy Joker Motorcycle Club,Mongols MC,United States,United States,True,3,7,"['Bandidos Motorcycle Club', 'Hells Angels Motorcycle Club', 'Mongrel Mob']",['Hells Angels Motorcycle Club']
Guerreros Unidos,Los Metros,Mexico,Mexico,True,4,7,"['Cártel de los Rojos', 'Gulf Cartel', 'Los Rojos', 'Sinaloa Cartel']",['Cártel de los Rojos']
Latin Counts,Simon City Royals,United States,United States,True,5,7,"['Imperial Gangsters', 'Insane Deuces', 'Latin Kings', 'Maniac Latin Disciples', 'Spanish Gangster Disciples']",['Spanish Gangster Disciples']
Mongols MC,Red Devils Motorcycle Club,United States,Sweden,False,2,6,"['Bandidos Motorcycle Club', 'Outlaws Motorcycle Club']",['Outlaws Motorcycle Club']
Comanchero Motorcycle Club,Gypsy Joker Motorcycle Club,Australia,United States,False,2,6,"['Bandidos Motorcycle Club', 'Hells Angels Motorcycle Club']",['Hells Angels Motorcycle Club']
Finks Motorcycle Club,Gypsy Joker Motorcycle Club,Australia,United States,False,2,6,"['Bandidos Motorcycle Club', 'Hells Angels Motorcycle Club']",[]
Finks Motorcycle Club,Rebels Motorcycle Club,Australia,Australia,True,2,6,"['Bandidos Motorcycle Club', 'Hells Angels Motorcycle Club']",[]
Gypsy Joker Motorcycle Club,Vagos Motorcycle Club,United States,United States,True,2,6,"['Bandidos Motorcycle Club', 'Hells Angels Motorcycle Club']",[]
Rebels Motorcycle Club,Vagos Motorcycle Club,Australia,United States,False,2,6,"['Bandidos Motorcycle Club', 'Hells Angels Motorcycle Club']",[]
Black Gangster Disciples Nation,Mara Salvatrucha,United States,United States,True,2,6,"['Bloods', 'Latin Kings']",[]
Crips,Texas Syndicate,United States,United States,True,3,6,"['Aryan Brotherhood', 'Mexican Mafia', 'Puro Tango Blast']",[]
Cártel de Caborca,Los Mazatlecos,Mexico,Mexico,True,3,6,"['Gulf Cartel', 'Los Chapitos', 'Sinaloa Cartel']",[]
Guerreros Unidos,Los Mazatlecos,Mexico,Mexico,True,3,6,"['Cártel de Jalisco Nueva Generación', 'Gulf Cartel', 'Sinaloa Cartel']",['Cártel de Jalisco Nueva Generación']
Gente Nueva,Mara Salvatrucha,Mexico,United States,False,3,6,"['Juárez Cartel', 'Knights Templar Cartel', 'Los Zetas']",['Los Zetas']
Los Solidos,Mara Salvatrucha,United States,United States,True,2,6,"['Latin Kings', 'Ñetas']",[]
