UF;Rodovia;Sentido;Alta;Média;Baixa;Latitude;Longitude
PR;BR-153;Crescente;;;X;-23.3847991;-50.060047
PR;BR-153;Crescente;;;X;-23.3891466;-50.0586797
PR;BR-153;Crescente;;;X;-23.397785;-50.0589186
PR;BR-153;Crescente;;;X;-23.4048582;-50.0648133
PR;BR-153;Crescente;X;;;-23.4126943;-50.0696013
PR;BR-153;Crescente;X;;;-23.4213847;-50.0721331
PR;BR-153;Crescente;X;;;-23.4292329;-50.0769553
PR;BR-153;Crescente;;X;;-23.435754;-50.0837659
PR;BR-153;Crescente;;;X;-23.4421567;-50.0906615
PR;BR-153;Crescente;;X;;-23.4485815;-50.0975809
PR;BR-153;Crescente;;;X;-23.4560497;-50.1023474
PR;BR-153;Crescente;;;X;-23.4648348;-50.1001502
PR;BR-153;Crescente;;;X;-23.4736861;-50.0987768
PR;BR-153;Crescente;;;X;-23.4821094;-50.102336
PR;BR-153;Crescente;;;X;-23.4956549;-50.10772
PR;BR-153;Crescente;;X;;-23.4990439;-50.1087076
PR;BR-153;Crescente;;;X;-23.5107363;-50.1126865
PR;BR-153;Crescente;;;;-23.5158967;-50.1144486
PR;BR-153;Crescente;;;;-23.5244893;-50.1173648
PR;BR-153;Crescente;;;X;-23.533098;-50.1202937
PR;BR-153;Crescente;;X;;-23.5415376;-50.1236648
PR;BR-153;Crescente;X;;;-23.5491875;-50.1288497
PR;BR-153;Crescente;;X;;-23.5546053;-50.1364087
PR;BR-153;Crescente;;X;;-23.5616044;-50.1424171
PR;BR-153;Crescente;;X;;-23.5699296;-50.1441173
PR;BR-153;Crescente;;X;;-23.5779741;-50.1473191
PR;BR-153;Crescente;;;X;-23.5865672;-50.1444672
PR;BR-153;Crescente;;X;;-23.5951881;-50.1438186
PR;BR-153;Crescente;;;X;-23.6039792;-50.144748
PR;BR-153;Crescente;;X;;-23.6129343;-50.1440758
PR;BR-153;Crescente;;;;-23.6276057;-50.1476853
PR;BR-153;Crescente;;;;-23.6302701;-50.1482823
